director,imdb_rating
Alan Taylor,9.157142857142857
Alex Graves,9.433333333333335
Alik Sakharov,9.175
Brian Kirk,8.866666666666667
D. B. Weiss,9.1
Daniel Minahan,9.040000000000001
Daniel Sackheim,9.0
David Benioff,8.9
David Benioff & D. B. Weiss,4.1
David Nutter,8.533333333333335
David Petrarca,8.9
Jack Bender,9.1
Jeremy Podeswa,8.866666666666665
Mark Mylod,8.799999999999999
Matt Shakman,9.4
Michael Slovis,8.6
Michelle MacLaren,8.899999999999999
Miguel Sapochnik,8.716666666666667
Neil Marshall,9.649999999999999
Tim Van Patten,8.9
